iter	Passed	Remaining
466	722	824
467	723	822
468	724	820
469	725	817
470	726	815
471	727	813
472	729	812
473	730	810
474	731	808
475	732	806
476	733	804
477	734	802
478	735	800
479	736	797
480	737	795
481	738	793
482	739	791
483	740	789
484	741	787
485	742	785
486	744	784
487	746	783
488	748	781
489	749	780
490	750	778
491	751	776
492	752	774
493	754	772
494	754	770
495	755	768
496	757	766
497	758	764
498	759	763
499	761	761
500	762	759
501	763	756
502	764	754
503	765	752
504	765	750
505	766	748
506	767	746
507	769	744
508	770	742
509	771	741
510	772	739
511	774	737
512	775	736
513	776	734
514	777	732
515	778	730
516	780	728
517	781	726
518	782	724
519	783	722
520	784	720
521	785	718
522	786	717
523	787	715
524	788	713
525	790	712
526	791	710
527	792	708
528	793	706
529	794	704
530	795	702
531	796	700
532	797	698
533	798	696
534	799	694
535	800	692
536	801	691
537	803	689
538	804	687
539	805	686
540	806	684
541	807	682
542	808	680
543	809	678
544	810	676
545	811	674
546	812	672
547	813	670
548	814	669
549	815	667
550	816	665
551	817	663
552	819	662
553	820	660
554	821	658
555	822	657
556	824	655
557	825	653
558	826	651
559	827	650
560	828	648
561	829	646
562	830	644
563	831	642
564	832	640
565	833	639
566	835	637
567	836	635
568	837	634
569	838	632
570	839	630
571	840	628
572	841	626
573	842	625
574	843	623
575	844	621
576	845	619
577	846	617
578	847	616
579	848	614
580	849	612
581	850	611
582	851	609
583	852	607
584	853	605
585	854	603
586	855	602
587	856	600
588	858	598
589	859	597
590	860	595
591	861	593
592	863	592
593	864	591
594	865	589
595	866	587
596	868	586
597	869	584
598	870	582
599	871	581
600	872	579
601	874	577
602	875	576
603	876	574
604	878	573
605	879	571
606	880	570
607	881	568
608	883	566
609	884	565
610	885	563
611	887	562
612	888	560
613	889	559
614	890	557
615	892	556
616	893	554
617	895	553
618	896	552
619	898	550
620	899	548
621	900	547
622	901	545
623	902	544
624	904	542
625	905	540
626	906	539
627	907	537
628	909	536
629	911	535
630	912	533
631	913	532
632	914	530
633	916	528
634	917	527
635	918	525
636	919	524
637	920	522
638	921	520
639	923	519
640	925	518
641	926	516
642	927	514
643	928	513
644	929	511
645	931	510
646	932	508
647	933	507
648	934	505
649	935	503
650	937	502
651	939	501
652	941	500
653	942	498
654	943	496
655	944	495
656	945	493
657	946	492
658	948	490
659	949	488
660	950	487
661	951	485
662	952	484
663	954	482
664	955	481
665	956	479
666	958	478
667	959	476
668	960	475
669	961	473
670	962	471
671	963	470
672	964	468
673	965	467
674	967	465
675	968	464
676	969	462
677	971	461
678	972	459
679	973	458
680	974	456
681	976	455
682	977	453
683	978	452
684	979	450
685	980	448
686	981	447
687	983	445
688	985	444
689	986	443
690	987	441
691	988	440
692	990	438
693	991	437
694	992	435
695	993	433
696	994	432
697	995	430
698	997	429
699	998	427
700	1000	426
701	1001	425
702	1002	423
703	1003	421
704	1004	420
705	1005	418
706	1006	417
707	1007	415
708	1008	413
709	1009	412
710	1010	410
711	1011	409
712	1012	407
713	1013	405
714	1014	404
715	1015	402
716	1017	401
717	1018	399
718	1019	398
719	1020	396
720	1021	395
721	1022	393
722	1023	392
723	1024	390
724	1025	388
725	1026	387
726	1027	385
727	1028	384
728	1029	382
729	1031	381
730	1032	379
731	1033	378
732	1034	376
733	1034	375
734	1036	373
735	1037	372
736	1038	370
737	1039	368
738	1040	367
739	1041	365
740	1041	364
741	1042	362
742	1044	361
743	1045	359
744	1046	358
745	1047	356
746	1048	355
747	1049	353
748	1050	352
749	1051	350
750	1052	348
751	1053	347
752	1054	345
753	1055	344
754	1056	342
755	1057	341
756	1058	339
757	1059	338
758	1061	336
759	1062	335
760	1062	333
761	1063	332
762	1065	330
763	1066	329
764	1067	327
765	1068	326
766	1068	324
767	1069	323
768	1070	321
769	1071	320
770	1072	318
771	1074	317
772	1075	315
773	1076	314
774	1077	312
775	1078	311
776	1079	309
777	1080	308
778	1081	306
779	1082	305
780	1083	303
781	1085	302
782	1086	301
783	1087	299
784	1089	298
785	1090	297
786	1092	295
787	1093	294
788	1095	292
789	1096	291
790	1097	290
791	1100	289
792	1102	287
793	1104	286
794	1105	285
795	1107	283
796	1108	282
797	1110	281
798	1111	279
799	1113	278
800	1114	276
801	1115	275
802	1117	274
803	1118	272
804	1120	271
805	1123	270
806	1124	268
807	1125	267
808	1127	266
809	1128	264
810	1130	263
811	1131	261
812	1132	260
813	1134	259
814	1135	257
815	1136	256
816	1138	254
817	1139	253
818	1140	252
819	1141	250
820	1142	249
821	1143	247
822	1145	246
823	1146	244
824	1147	243
825	1148	241
826	1149	240
827	1151	239
828	1152	237
829	1153	236
830	1155	234
831	1156	233
832	1157	232
833	1158	230
834	1159	229
835	1160	227
836	1162	226
837	1163	224
838	1164	223
839	1166	222
840	1167	220
841	1168	219
842	1169	217
843	1170	216
844	1172	215
845	1173	213
846	1174	212
847	1175	210
848	1176	209
849	1178	207
850	1179	206
851	1181	205
852	1182	203
853	1183	202
854	1184	200
855	1185	199
856	1187	198
857	1188	196
858	1189	195
859	1190	193
860	1192	192
861	1193	191
862	1194	189
863	1196	188
864	1197	186
865	1199	185
866	1200	184
867	1201	182
868	1202	181
869	1204	179
870	1205	178
871	1206	177
872	1207	175
873	1208	174
874	1210	172
875	1211	171
876	1213	170
877	1214	168
878	1215	167
879	1216	165
880	1217	164
881	1218	163
882	1220	161
883	1221	160
884	1222	158
885	1223	157
886	1224	156
887	1226	154
888	1227	153
889	1228	151
890	1229	150
891	1230	148
892	1231	147
893	1232	146
894	1233	144
895	1234	143
896	1235	141
897	1236	140
898	1237	139
899	1238	137
900	1239	136
901	1240	134
902	1241	133
903	1242	131
904	1243	130
905	1244	129
906	1245	127
907	1246	126
908	1247	124
909	1248	123
910	1249	122
911	1250	120
912	1251	119
913	1252	117
914	1254	116
915	1255	115
916	1256	113
917	1257	112
918	1258	110
919	1259	109
